target_id,speaker,sex,dob,city_born,lexset,word,start,end,pre_seg,fol_seg,F1,F2,F3
2922,GraceG,F,1994,Manchester,FACE,made,733.583,733.743,M,D,603,2187.3,2875.8
2923,GraceG,F,1994,Manchester,DRESS,many,735.023,735.082,M,N,544.7,2287.4,3559.2
2924,GraceG,F,1994,Manchester,TRAP,that,738.148,738.318,DH,T,804,1591.7,2719.4
2925,GraceG,F,1994,Manchester,FACE,make,742.302,742.492,M,K,659.9,2478.7,3591.2
2926,GraceG,F,1994,Manchester,FLEECE,each,744.173,744.282,D,CH,410.3,2606.2,3462.9
2927,GraceG,F,1994,Manchester,TRAP,that,745.598,745.687,DH,T,946.4,1778.1,4141.4
2928,GraceG,F,1994,Manchester,FLEECE,between,745.877,745.937,W,N,439.9,2738.3,3761.5
2929,GraceG,F,1994,Manchester,GOOSE,two,746.077,746.167,T,AH0,459.1,2117.1,3015.5
2930,GraceG,F,1994,Manchester,MOUTH,about,747.597,747.738,B,T,891.3,1554,2846.6
2931,GraceG,F,1994,Manchester,KIT,fifty,748.277,748.338,F,F,574.2,2009.4,2722
2932,GraceG,F,1994,Manchester,PRICE,time,749.047,749.187,T,M,896.4,1858.6,2577.9
2933,GraceG,F,1994,Manchester,STRUT,done,750.607,750.637,D,N,507.8,1686.8,2449.4
2934,GraceG,F,1994,Manchester,PRICE,like,751.817,752.057,L,K,837.7,1774.4,2917
2935,GraceG,F,1994,Manchester,STRUT,us,753.077,753.107,T,S,337.1,1650,3041.1
2936,GraceG,F,1994,Manchester,STRUT,fund,753.808,753.837,F,N,481.2,1474.6,2541.9
2937,GraceG,F,1994,Manchester,LOT,got,755.428,755.607,G,T,938.2,1603.8,2526.5
2938,GraceG,F,1994,Manchester,DRESS,collection,756.487,756.548,L,K,885.8,1933.8,4299.2
2939,GraceG,F,1994,Manchester,KIT,in,757.438,757.538,L,N,673.3,2146.2,3233.4
2940,GraceG,F,1994,Manchester,PRICE,i,762.562,762.712,SP,K,760.7,1584,2964.4
2941,GraceG,F,1994,Manchester,MOUTH,out,763.703,763.833,EY1,T,761.2,1934.1,2938.2
2942,GraceG,F,1994,Manchester,STRUT,just,771.782,771.853,JH,S,670.9,1450.5,2638.2
2943,GraceG,F,1994,Manchester,KIT,gym,775.662,775.852,JH,M,666.6,2107.7,3163.7
2944,GraceG,F,1994,Manchester,PRICE,i,776.562,776.662,N,W,669.3,1711.4,3116
2945,GraceG,F,1994,Manchester,STRUT,up,780.403,780.613,S,P,691.9,1572.9,3000.7
